human_review_id,application_id,queue,trigger_rule_ids,reason_code,reason_text,reviewer_role,status,opened_date
APP-000020-HRV,APP-000020,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000021-HRV,APP-000021,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000024-HRV,APP-000024,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000026-HRV,APP-000026,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000028-HRV,APP-000028,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000029-HRV,APP-000029,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000030-HRV,APP-000030,UNDERWRITING,CRD-DLQ-001|UWR-HRV-001,HR-POLICY-TRIGGER,CRD-DLQ-001: 1 housing payment(s) 30 days past due in the last 12 months; underwriter review required.,underwriter,OPEN,2026-08-12
APP-000031-HRV,APP-000031,UNDERWRITING,CRD-DLQ-002|UWR-HRV-001,HR-POLICY-TRIGGER,CRD-DLQ-002: 4 account(s) 30+ days past due in 24 months; a written explanation and underwriter review are required.,underwriter,OPEN,2026-08-12
APP-000033-HRV,APP-000033,UNDERWRITING,REFER,HR-POLICY-TRIGGER,REFER is never auto-decided (DEC-REC-002).,underwriter,OPEN,2026-09-04
APP-000034-HRV,APP-000034,UNDERWRITING,CRD-SCR-005|UWR-HRV-001,HR-POLICY-TRIGGER,CRD-SCR-005: Only 2 scoreable tradeline(s); manual credit review with alternative credit evidence is required.,underwriter,OPEN,2026-08-12
APP-000035-HRV,APP-000035,UNDERWRITING,LIA-INC-006|UWR-HRV-001,HR-POLICY-TRIGGER,LIA-INC-006: An obligation appearing on the credit report was not declared on the application. It has been added to the liabilities and the debt-to-income ratio recomputed; the borrower must confirm or dispute it before a decision is reached.,underwriter,OPEN,2026-08-12
APP-000036-HRV,APP-000036,UNDERWRITING,INC-GEN-006|UWR-HRV-001,HR-POLICY-TRIGGER,INC-GEN-006: Income evidence differs across sources by 7.06% against a 5.00% materiality threshold. The lower verified figure is used pending resolution and both values are recorded.,underwriter,OPEN,2026-08-12
APP-000037-HRV,APP-000037,UNDERWRITING,EMP-VER-003|UWR-HRV-001,HR-POLICY-TRIGGER,EMP-VER-003: The employment verification reports details that differ materially from the application. The verified value governs and the discrepancy is recorded with both values and their sources.,underwriter,OPEN,2026-08-12
APP-000038-HRV,APP-000038,UNDERWRITING,INC-SAL-003|UWR-HRV-001,HR-POLICY-TRIGGER,INC-SAL-003: Annualised year-to-date earnings differ from the stated salary by 9.12% against a 5.00% tolerance.,underwriter,OPEN,2026-08-12
APP-000039-HRV,APP-000039,UNDERWRITING,PRP-OCC-002|UWR-HRV-001,HR-POLICY-TRIGGER,PRP-OCC-002: Evidence in the file contradicts the declared occupancy. The contradiction is recorded with both sources and routed for review; it is not resolved by re-reading the declaration.,underwriter,OPEN,2026-08-12
APP-000040-HRV,APP-000040,UNDERWRITING,AST-SRC-002|UWR-HRV-001,HR-POLICY-TRIGGER,"AST-SRC-002: A deposit of 16,733.33 exceeds the 5,229.16 threshold (50.00% of qualifying monthly income) and has no documented source. It is excluded from eligible assets and the funds and reserve calculations were re-run without it.",underwriter,OPEN,2026-08-12
APP-000043-HRV,APP-000043,FRAUD_AND_FINANCIAL_CRIME,FRD-IND-001|FRD-IND-002|FRD-IND-003|UWR-HRV-001,HR-DOCUMENT-INTEGRITY,FRD-IND-001: Cross-source inconsistency: paystub year-to-date total does not sum from its line items. Recorded with both contributing sources for reviewer evaluation.,underwriter,OPEN,2026-08-12
APP-000044-HRV,APP-000044,FRAUD_AND_FINANCIAL_CRIME,KYC-IDV-001|KYC-IDV-002|UWR-HRV-001,HR-IDENTITY-MISMATCH,KYC-IDV-001: Identity verification returned REFERRED.,financial_crime_analyst,OPEN,2026-08-12
APP-000047-HRV,APP-000047,UNDERWRITING,REFER,HR-POLICY-TRIGGER,REFER is never auto-decided (DEC-REC-002).,underwriter,OPEN,2026-09-04
APP-000049-HRV,APP-000049,UNDERWRITING,TTL-LIE-002|UWR-HRV-001,HR-POLICY-TRIGGER,"TTL-LIE-002: A title exception affecting marketability, access or the insured lien position is unresolved; it must be cleared before clear-to-close.",underwriter,OPEN,2026-08-12
APP-000051-HRV,APP-000051,UNDERWRITING,PRP-ELG-002|UWR-HRV-001,HR-POLICY-TRIGGER,"PRP-ELG-002: The valuation reports a condition affecting safety, structural integrity or habitability; repairs and a satisfactory re-inspection are required before closing.",underwriter,OPEN,2026-08-12
APP-000055-HRV,APP-000055,UNDERWRITING,UWR-HRV-001,HR-POLICY-TRIGGER,"UWR-HRV-001: Affordability result 44.00% is within 2.00% of its 45.00% limit, which is a mandatory human-review trigger.",underwriter,OPEN,2026-06-25
APP-000056-HRV,APP-000056,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-07-08
APP-000057-HRV,APP-000057,UNDERWRITING,UWR-HRV-001,HR-POLICY-TRIGGER,"UWR-HRV-001: Affordability result 44.00% is within 2.00% of its 45.00% limit, which is a mandatory human-review trigger.",underwriter,OPEN,2026-07-08
APP-000059-HRV,APP-000059,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-09-04
APP-000062-HRV,APP-000062,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000064-HRV,APP-000064,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-09-04
APP-000065-HRV,APP-000065,SECURITY_REVIEW,SEC-INJ-001|UWR-HRV-001,HR-SECURITY-PROMPT_INJECTION,SEC-INJ-001: PROMPT_INJECTION detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000066-HRV,APP-000066,SECURITY_REVIEW,SEC-INJ-001|UWR-HRV-001,HR-SECURITY-POLICY_OVERRIDE_ATTEMPT,SEC-INJ-001: POLICY_OVERRIDE_ATTEMPT detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000067-HRV,APP-000067,SECURITY_REVIEW,SEC-INJ-003|UWR-HRV-001,HR-SECURITY-PII_EXTRACTION,SEC-INJ-003: PII_EXTRACTION detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000068-HRV,APP-000068,SECURITY_REVIEW,SEC-INJ-002|UWR-HRV-001,HR-SECURITY-CROSS_CUSTOMER_ACCESS,SEC-INJ-002: CROSS_CUSTOMER_ACCESS detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000069-HRV,APP-000069,SECURITY_REVIEW,SEC-INJ-001|UWR-HRV-001,HR-SECURITY-INSTRUCTION_SMUGGLING,SEC-INJ-001: INSTRUCTION_SMUGGLING detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000070-HRV,APP-000070,SECURITY_REVIEW,SEC-INJ-004|UWR-HRV-001,HR-SECURITY-OUT_OF_SCOPE_REQUEST,SEC-INJ-004: OUT_OF_SCOPE_REQUEST detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,financial_crime_analyst,OPEN,2026-08-12
APP-000075-HRV,APP-000075,UNDERWRITING,EMP-CNT-001|UWR-HRV-001,HR-POLICY-TRIGGER,"EMP-CNT-001: Combined employment history of 0 months is below the 24-month requirement; the file is reviewed rather than failed, because a shorter history with strong continuity can still support the income.",underwriter,OPEN,2026-08-12
