calculation_id,application_id,calculation_name,input_fields,formula_version,result,units,calculated_at,policy_context,expected_interpretation
APP-000002-CALC-09,APP-000002,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000002-CALC-10,APP-000002,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000002-CALC-11,APP-000002,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,82000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000002-CALC-12,APP-000002,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.2000,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000002-CALC-13,APP-000002,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,87117.55,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000002-CALC-14,APP-000002,funds_to_close_available,assets.eligible_close_amount,v1.0.0,96512.40,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000002-CALC-15,APP-000002,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,0.00,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000002-CALC-16,APP-000002,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,11743.56,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000002-CALC-17,APP-000002,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,4.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000002-CALC-18,APP-000002,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000002-CALC-19,APP-000002,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000002-CALC-20,APP-000002,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.3514,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000002-CALC-21,APP-000002,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,2.89,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
APP-000002-CALC-22,APP-000002,representative_credit_score,credit_profiles.score_1|credit_profiles.score_2|credit_profiles.score_3,v1.0.0,742,SCORE,2026-08-12,POL-CRD-001,Middle of three per borrower; lowest across borrowers.
APP-000003-CALC-01,APP-000003,gross_monthly_income,income.annual_amount,v1.0.0,11241.67,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000003-CALC-02,APP-000003,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,11241.67,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000003-CALC-03,APP-000003,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,3259.29,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000003-CALC-04,APP-000003,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,3822.17,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000003-CALC-05,APP-000003,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.2899,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000003-CALC-06,APP-000003,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.3400,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000003-CALC-07,APP-000003,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,7419.50,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000003-CALC-08,APP-000003,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
APP-000003-CALC-09,APP-000003,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000003-CALC-10,APP-000003,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000003-CALC-11,APP-000003,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,108000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000003-CALC-12,APP-000003,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.2000,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000003-CALC-13,APP-000003,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,101531.10,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000003-CALC-14,APP-000003,funds_to_close_available,assets.eligible_close_amount,v1.0.0,122390.56,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000003-CALC-15,APP-000003,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,0.00,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000003-CALC-16,APP-000003,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,26074.32,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000003-CALC-17,APP-000003,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,8.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000003-CALC-18,APP-000003,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000003-CALC-19,APP-000003,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000003-CALC-20,APP-000003,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.5152,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000003-CALC-21,APP-000003,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,3.20,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
APP-000003-CALC-22,APP-000003,representative_credit_score,credit_profiles.score_1|credit_profiles.score_2|credit_profiles.score_3,v1.0.0,598,SCORE,2026-08-12,POL-CRD-001,Middle of three per borrower; lowest across borrowers.
APP-000004-CALC-01,APP-000004,gross_monthly_income,income.annual_amount,v1.0.0,7900.00,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000004-CALC-02,APP-000004,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,7900.00,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000004-CALC-03,APP-000004,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,2369.57,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000004-CALC-04,APP-000004,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,3871.00,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000004-CALC-05,APP-000004,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.2999,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000004-CALC-06,APP-000004,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.4900,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000004-CALC-07,APP-000004,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,4029.00,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000004-CALC-08,APP-000004,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
APP-000004-CALC-09,APP-000004,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000004-CALC-10,APP-000004,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000004-CALC-11,APP-000004,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,76000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000004-CALC-12,APP-000004,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.2000,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000004-CALC-13,APP-000004,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,72223.96,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000004-CALC-14,APP-000004,funds_to_close_available,assets.eligible_close_amount,v1.0.0,77910.93,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000004-CALC-15,APP-000004,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,0.00,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000004-CALC-16,APP-000004,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,7108.71,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000004-CALC-17,APP-000004,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,3.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000004-CALC-18,APP-000004,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000004-CALC-19,APP-000004,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000004-CALC-20,APP-000004,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.1905,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000004-CALC-21,APP-000004,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,3.21,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
APP-000004-CALC-22,APP-000004,representative_credit_score,credit_profiles.score_1|credit_profiles.score_2|credit_profiles.score_3,v1.0.0,742,SCORE,2026-08-12,POL-CRD-001,Middle of three per borrower; lowest across borrowers.
APP-000005-CALC-01,APP-000005,gross_monthly_income,income.annual_amount,v1.0.0,13341.67,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000005-CALC-02,APP-000005,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,13341.67,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000005-CALC-03,APP-000005,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,3868.45,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000005-CALC-04,APP-000005,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,5203.25,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000005-CALC-05,APP-000005,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.2900,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000005-CALC-06,APP-000005,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.3900,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000005-CALC-07,APP-000005,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,8138.42,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000005-CALC-08,APP-000005,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.9700,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
APP-000005-CALC-09,APP-000005,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.9700,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000005-CALC-10,APP-000005,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.9700,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000005-CALC-11,APP-000005,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,15000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000005-CALC-12,APP-000005,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.0300,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000005-CALC-13,APP-000005,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,20217.12,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000005-CALC-14,APP-000005,funds_to_close_available,assets.eligible_close_amount,v1.0.0,32596.16,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000005-CALC-15,APP-000005,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,0.00,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000005-CALC-16,APP-000005,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,15473.80,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000005-CALC-17,APP-000005,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,4.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000005-CALC-18,APP-000005,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000005-CALC-19,APP-000005,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000005-CALC-20,APP-000005,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.8868,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000005-CALC-21,APP-000005,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,3.03,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
APP-000005-CALC-22,APP-000005,representative_credit_score,credit_profiles.score_1|credit_profiles.score_2|credit_profiles.score_3,v1.0.0,688,SCORE,2026-08-12,POL-CRD-001,Middle of three per borrower; lowest across borrowers.
APP-000006-CALC-01,APP-000006,gross_monthly_income,income.annual_amount,v1.0.0,9025.00,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000006-CALC-02,APP-000006,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,9025.00,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000006-CALC-03,APP-000006,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,2617.18,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000006-CALC-04,APP-000006,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,3158.75,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000006-CALC-05,APP-000006,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.2900,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000006-CALC-06,APP-000006,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.3500,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000006-CALC-07,APP-000006,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,5866.25,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000006-CALC-08,APP-000006,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
APP-000006-CALC-09,APP-000006,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000006-CALC-10,APP-000006,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000006-CALC-11,APP-000006,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,78000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000006-CALC-12,APP-000006,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.2000,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000006-CALC-13,APP-000006,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,82431.66,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000006-CALC-14,APP-000006,funds_to_close_available,assets.eligible_close_amount,v1.0.0,59350.80,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000006-CALC-15,APP-000006,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,23080.86,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000006-CALC-16,APP-000006,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,0.00,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000006-CALC-17,APP-000006,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,0.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000006-CALC-18,APP-000006,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000006-CALC-19,APP-000006,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000006-CALC-20,APP-000006,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.4286,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000006-CALC-21,APP-000006,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,2.88,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
