evaluation_id,application_id,rule_id,policy_id,policy_version,policy_effective_date,source_category,severity,outcome,observed_value,comparator,threshold_value,input_fields,requires_human_review,reason
APP-000002-EVAL-006,APP-000002,CONV-PUR-002,POL-CONV-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.8000,<=,0.97,loans.loan_amount|properties.value_used_for_ltv|underwriting_calculations.ltv,false,Loan-to-value 80.00% against the primary_residence limit of 97.00% for this programme.
APP-000002-EVAL-007,APP-000002,CRD-SCR-003,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,742,>=,620,credit_profiles.representative_score,false,Representative score 742 against the applicable floor of 620.
APP-000002-EVAL-008,APP-000002,CRD-SCR-004,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,21,<=,90,credit_profiles.report_date,false,Credit report is 21 days old against the 90-day window in force on the as-of date.
APP-000002-EVAL-009,APP-000002,CRD-SCR-007,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1,<,4,credit_profiles.recent_inquiries_90d,false,"1 inquiries in the 90-day lookback, below the explanation trigger."
APP-000002-EVAL-010,APP-000002,CRD-DLQ-001,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,credit_accounts.housing_late_history,false,No housing payment 30 or more days past due in the last 12 months.
APP-000002-EVAL-011,APP-000002,CRD-DLQ-003,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.2800,<=,0.8,underwriting_calculations.credit_utilization,false,Revolving utilisation 28.00% is within the risk-note threshold.
APP-000002-EVAL-012,APP-000002,EMP-CNT-001,POL-EMP-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,60,>=,24,employment.start_date,false,Employment history of 60 months meets the 24-month requirement.
APP-000002-EVAL-013,APP-000002,DTI-CONV-001,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.4200,<=,0.43,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti,false,Back-end debt-to-income 42.00% against the applicable limit of 43.00%.
APP-000002-EVAL-014,APP-000002,UWR-HRV-001,POL-UWR-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,REFER,0.4200,<=,0.43,underwriting_calculations.back_end_dti,true,"Affordability result 42.00% is within 2.00% of its 43.00% limit, which is a mandatory human-review trigger."
APP-000002-EVAL-015,APP-000002,DTI-CONV-002,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.3101,<=,0.38,underwriting_calculations.front_end_dti,false,Housing ratio 31.01% recorded; this measure is advisory on this programme.
APP-000002-EVAL-016,APP-000002,DTI-CALC-003,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,5490.67,,,underwriting_calculations.residual_income_monthly,false,"Monthly disposable income 5,490.67 recorded alongside the ratio."
APP-000002-EVAL-017,APP-000002,AST-FTC-003,POL-AST-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,96512.40,>=,87117.55,underwriting_calculations.funds_to_close_required|underwriting_calculations.funds_to_close_available,false,"Eligible funds available 96,512.40 against 87,117.55 required at settlement."
APP-000002-EVAL-018,APP-000002,AST-RSV-002,POL-AST-003,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,4.00,>=,0,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves,false,"Post-closing reserves of 4.00 months against the 0-month requirement for this occupancy, leverage and affordability profile."
APP-000002-EVAL-019,APP-000002,VAL-APR-001,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,full_appraisal,==,full_appraisal,appraisals.valuation_method,false,Valuation method 'full_appraisal' satisfies the requirement for this transaction.
APP-000002-EVAL-020,APP-000002,VAL-APR-003,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,24,<=,120,appraisals.appraisal_date,false,"Valuation is 24 days old, within the 120-day window."
APP-000002-EVAL-021,APP-000002,DOC-REQ-003,POL-DOC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1.0000,==,1.0000,documents,false,Document completeness 100.00% (0 of 0 required documents received and current).
APP-000002-EVAL-022,APP-000002,GEN-ELG-005,POL-GEN-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,0,==,0,rule_evaluations|documents,false,"Every rule in scope had the inputs it needed, so none evaluated to INDETERMINATE."
APP-000002-EVAL-023,APP-000002,UWR-HRV-001,POL-UWR-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,REFER,1,==,0,rule_evaluations,true,1 mandatory human-review trigger(s) present.
APP-000002-EVAL-024,APP-000002,DEC-REC-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,decisions|decision_reasons,false,"The recommendation is drawn from the controlled vocabulary and carries the rule ids, policy versions and calculation records supporting it."
APP-000002-EVAL-025,APP-000002,DEC-AUD-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,audit_events,false,"The decision record carries the full chain: policy version, rule, calculation, evidence and reason."
APP-000003-EVAL-001,APP-000003,SEC-INJ-001,POL-SEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,documents.contains_untrusted_text,false,No applicant-supplied text required quarantine beyond the standard trust-class handling.
APP-000003-EVAL-002,APP-000003,KYC-IDV-001,POL-KYC-001,1.0,2026-01-01,REGULATORY,HARD_FAIL,PASS,VERIFIED,==,VERIFIED,verifications.identity,false,"Identity verified; name, date of birth, address and a tokenised identification number were collected and matched."
APP-000003-EVAL-003,APP-000003,FRD-IND-001,POL-FRD-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,documents|verifications,false,No cross-source inconsistency without an innocent arithmetic explanation was identified.
APP-000003-EVAL-004,APP-000003,GEN-ELG-003,POL-GEN-001,1.0,2026-01-01,AGENCY_INVESTOR,HARD_FAIL,PASS,432000.00,<=,832750,loans.base_loan_amount,false,Base loan amount is within the applicable one-unit conforming limit.
APP-000003-EVAL-005,APP-000003,PRP-ELG-001,POL-PRP-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,single_family_detached/1,in,"1-4 units, eligible type",properties.property_type|properties.units,false,Property type 'single_family_detached' with 1 unit(s) is eligible.
APP-000003-EVAL-006,APP-000003,CONV-PUR-002,POL-CONV-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.8000,<=,0.97,loans.loan_amount|properties.value_used_for_ltv|underwriting_calculations.ltv,false,Loan-to-value 80.00% against the primary_residence limit of 97.00% for this programme.
APP-000003-EVAL-007,APP-000003,CRD-SCR-003,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,FAIL,598,>=,620,credit_profiles.representative_score,false,Representative score 598 against the applicable floor of 620. The credit floor is not met.
APP-000003-EVAL-008,APP-000003,CRD-SCR-004,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,21,<=,90,credit_profiles.report_date,false,Credit report is 21 days old against the 90-day window in force on the as-of date.
APP-000003-EVAL-009,APP-000003,CRD-SCR-007,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1,<,4,credit_profiles.recent_inquiries_90d,false,"1 inquiries in the 90-day lookback, below the explanation trigger."
APP-000003-EVAL-010,APP-000003,CRD-DLQ-001,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,credit_accounts.housing_late_history,false,No housing payment 30 or more days past due in the last 12 months.
APP-000003-EVAL-011,APP-000003,CRD-DLQ-003,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.2800,<=,0.8,underwriting_calculations.credit_utilization,false,Revolving utilisation 28.00% is within the risk-note threshold.
APP-000003-EVAL-012,APP-000003,EMP-CNT-001,POL-EMP-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,60,>=,24,employment.start_date,false,Employment history of 60 months meets the 24-month requirement.
APP-000003-EVAL-013,APP-000003,DTI-CONV-001,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.3400,<=,0.43,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti,false,Back-end debt-to-income 34.00% against the applicable limit of 43.00%.
APP-000003-EVAL-014,APP-000003,DTI-CONV-002,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.2899,<=,0.38,underwriting_calculations.front_end_dti,false,Housing ratio 28.99% recorded; this measure is advisory on this programme.
APP-000003-EVAL-015,APP-000003,DTI-CALC-003,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,7419.50,,,underwriting_calculations.residual_income_monthly,false,"Monthly disposable income 7,419.50 recorded alongside the ratio."
APP-000003-EVAL-016,APP-000003,AST-FTC-003,POL-AST-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,122390.56,>=,101531.10,underwriting_calculations.funds_to_close_required|underwriting_calculations.funds_to_close_available,false,"Eligible funds available 122,390.56 against 101,531.10 required at settlement."
APP-000003-EVAL-017,APP-000003,AST-RSV-002,POL-AST-003,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,8.00,>=,0,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves,false,"Post-closing reserves of 8.00 months against the 0-month requirement for this occupancy, leverage and affordability profile."
APP-000003-EVAL-018,APP-000003,VAL-APR-001,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,full_appraisal,==,full_appraisal,appraisals.valuation_method,false,Valuation method 'full_appraisal' satisfies the requirement for this transaction.
APP-000003-EVAL-019,APP-000003,VAL-APR-003,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,24,<=,120,appraisals.appraisal_date,false,"Valuation is 24 days old, within the 120-day window."
APP-000003-EVAL-020,APP-000003,DOC-REQ-003,POL-DOC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1.0000,==,1.0000,documents,false,Document completeness 100.00% (0 of 0 required documents received and current).
APP-000003-EVAL-021,APP-000003,GEN-ELG-005,POL-GEN-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,0,==,0,rule_evaluations|documents,false,"Every rule in scope had the inputs it needed, so none evaluated to INDETERMINATE."
APP-000003-EVAL-022,APP-000003,DEC-REC-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,decisions|decision_reasons,false,"The recommendation is drawn from the controlled vocabulary and carries the rule ids, policy versions and calculation records supporting it."
APP-000003-EVAL-023,APP-000003,DEC-AUD-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,audit_events,false,"The decision record carries the full chain: policy version, rule, calculation, evidence and reason."
APP-000004-EVAL-001,APP-000004,SEC-INJ-001,POL-SEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,documents.contains_untrusted_text,false,No applicant-supplied text required quarantine beyond the standard trust-class handling.
APP-000004-EVAL-002,APP-000004,KYC-IDV-001,POL-KYC-001,1.0,2026-01-01,REGULATORY,HARD_FAIL,PASS,VERIFIED,==,VERIFIED,verifications.identity,false,"Identity verified; name, date of birth, address and a tokenised identification number were collected and matched."
APP-000004-EVAL-003,APP-000004,FRD-IND-001,POL-FRD-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,documents|verifications,false,No cross-source inconsistency without an innocent arithmetic explanation was identified.
APP-000004-EVAL-004,APP-000004,GEN-ELG-003,POL-GEN-001,1.0,2026-01-01,AGENCY_INVESTOR,HARD_FAIL,PASS,304000.00,<=,832750,loans.base_loan_amount,false,Base loan amount is within the applicable one-unit conforming limit.
APP-000004-EVAL-005,APP-000004,PRP-ELG-001,POL-PRP-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,single_family_detached/1,in,"1-4 units, eligible type",properties.property_type|properties.units,false,Property type 'single_family_detached' with 1 unit(s) is eligible.
APP-000004-EVAL-006,APP-000004,CONV-PUR-002,POL-CONV-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.8000,<=,0.97,loans.loan_amount|properties.value_used_for_ltv|underwriting_calculations.ltv,false,Loan-to-value 80.00% against the primary_residence limit of 97.00% for this programme.
APP-000004-EVAL-007,APP-000004,CRD-SCR-003,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,742,>=,620,credit_profiles.representative_score,false,Representative score 742 against the applicable floor of 620.
APP-000004-EVAL-008,APP-000004,CRD-SCR-004,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,21,<=,90,credit_profiles.report_date,false,Credit report is 21 days old against the 90-day window in force on the as-of date.
APP-000004-EVAL-009,APP-000004,CRD-SCR-007,POL-CRD-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1,<,4,credit_profiles.recent_inquiries_90d,false,"1 inquiries in the 90-day lookback, below the explanation trigger."
APP-000004-EVAL-010,APP-000004,CRD-DLQ-001,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,credit_accounts.housing_late_history,false,No housing payment 30 or more days past due in the last 12 months.
APP-000004-EVAL-011,APP-000004,CRD-DLQ-003,POL-CRD-003,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.2800,<=,0.8,underwriting_calculations.credit_utilization,false,Revolving utilisation 28.00% is within the risk-note threshold.
APP-000004-EVAL-012,APP-000004,EMP-CNT-001,POL-EMP-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,60,>=,24,employment.start_date,false,Employment history of 60 months meets the 24-month requirement.
APP-000004-EVAL-013,APP-000004,DTI-CONV-001,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,FAIL,0.4900,<=,0.43,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti,false,Back-end debt-to-income 49.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 1 documented compensating factor(s) against the 2 required. The affordability limit is breached.
APP-000004-EVAL-014,APP-000004,DTI-BRE-001,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,0.4900,<=,0.43,rule_evaluations,false,"The breach is reported with its computed value 49.00%, the threshold 43.00% it failed, the rule DTI-CONV-001 and the policy version that set it."
APP-000004-EVAL-015,APP-000004,DTI-CONV-002,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,0.2999,<=,0.38,underwriting_calculations.front_end_dti,false,Housing ratio 29.99% recorded; this measure is advisory on this programme.
APP-000004-EVAL-016,APP-000004,DTI-CALC-003,POL-DTI-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PASS,4029.00,,,underwriting_calculations.residual_income_monthly,false,"Monthly disposable income 4,029.00 recorded alongside the ratio."
APP-000004-EVAL-017,APP-000004,AST-FTC-003,POL-AST-002,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,77910.93,>=,72223.96,underwriting_calculations.funds_to_close_required|underwriting_calculations.funds_to_close_available,false,"Eligible funds available 77,910.93 against 72,223.96 required at settlement."
APP-000004-EVAL-018,APP-000004,AST-RSV-002,POL-AST-003,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,3.00,>=,2,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves,false,"Post-closing reserves of 3.00 months against the 2-month requirement for this occupancy, leverage and affordability profile."
APP-000004-EVAL-019,APP-000004,VAL-APR-001,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,full_appraisal,==,full_appraisal,appraisals.valuation_method,false,Valuation method 'full_appraisal' satisfies the requirement for this transaction.
APP-000004-EVAL-020,APP-000004,VAL-APR-003,POL-VAL-001,2.0,2026-07-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,24,<=,120,appraisals.appraisal_date,false,"Valuation is 24 days old, within the 120-day window."
APP-000004-EVAL-021,APP-000004,DOC-REQ-003,POL-DOC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,1.0000,==,1.0000,documents,false,Document completeness 100.00% (0 of 0 required documents received and current).
APP-000004-EVAL-022,APP-000004,GEN-ELG-005,POL-GEN-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS,0,==,0,rule_evaluations|documents,false,"Every rule in scope had the inputs it needed, so none evaluated to INDETERMINATE."
APP-000004-EVAL-023,APP-000004,DEC-REC-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,decisions|decision_reasons,false,"The recommendation is drawn from the controlled vocabulary and carries the rule ids, policy versions and calculation records supporting it."
APP-000004-EVAL-024,APP-000004,DEC-AUD-001,POL-DEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,audit_events,false,"The decision record carries the full chain: policy version, rule, calculation, evidence and reason."
APP-000005-EVAL-001,APP-000005,SEC-INJ-001,POL-SEC-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,,,,documents.contains_untrusted_text,false,No applicant-supplied text required quarantine beyond the standard trust-class handling.
APP-000005-EVAL-002,APP-000005,KYC-IDV-001,POL-KYC-001,1.0,2026-01-01,REGULATORY,HARD_FAIL,PASS,VERIFIED,==,VERIFIED,verifications.identity,false,"Identity verified; name, date of birth, address and a tokenised identification number were collected and matched."
APP-000005-EVAL-003,APP-000005,FRD-IND-001,POL-FRD-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,REFER,PASS,0,==,0,documents|verifications,false,No cross-source inconsistency without an innocent arithmetic explanation was identified.
APP-000005-EVAL-004,APP-000005,GEN-ELG-003,POL-GEN-001,1.0,2026-01-01,AGENCY_INVESTOR,HARD_FAIL,PASS,485000.00,<=,832750,loans.base_loan_amount,false,Base loan amount is within the applicable one-unit conforming limit.
APP-000005-EVAL-005,APP-000005,PRP-ELG-001,POL-PRP-001,1.0,2026-01-01,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS,single_family_detached/1,in,"1-4 units, eligible type",properties.property_type|properties.units,false,Property type 'single_family_detached' with 1 unit(s) is eligible.
