rule_id,policy_id,policy_version,policy_effective_date,policy_expiration_date,title,source_category,severity,outcome_type,requires_human_review,parameters,has_research_reference,cross_refs
JMB-ELG-003,POL-JUMBO-001,2.0,2026-07-01,,Reserve and documentation requirement,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,min_months_reserves=9; min_months_reserves_above_1_5m=12; loan_amount_tier_trigger=1500000; documentation_level=full,false,POL-AST-003|POL-DOC-001
JMB-ELG-005,POL-JUMBO-001,2.0,2026-07-01,,Second valuation above a loan amount threshold,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,true,second_valuation_above_loan_amount=1500000; variance_tolerance=0.05; resolution=use the lower value and route for collateral review,false,POL-VAL-001
FHA-OVL-001,POL-FHA-001,1.0,2026-01-01,,Authority and what this document is not,AGENCY_INVESTOR,ADVISORY,PROCESS,false,,true,
FHA-OVL-002,POL-FHA-001,1.0,2026-01-01,,Leverage by credit band,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_score_580_plus=0.965; max_ltv_score_500_to_579=0.9; min_representative_score=500,false,POL-CRD-001
FHA-OVL-003,POL-FHA-001,1.0,2026-01-01,,Insurance premiums enter the housing expense,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,CALCULATION,false,upfront_premium_pct_of_base_loan=0.0175; annual_premium_pct_of_loan=0.0055; upfront_premium_financed=True; ltv_measured_against=base loan amount before financed premium,false,POL-DTI-001
FHA-OVL-004,POL-FHA-001,1.0,2026-01-01,,Affordability tolerance with compensating factors,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_back_end_dti=0.43; max_back_end_dti_with_factors=0.5; min_compensating_factors=2,false,POL-DTI-001
VA-OVL-001,POL-VA-001,1.0,2026-01-01,,Programme eligibility rests on an entitlement certificate,AGENCY_INVESTOR,HARD_FAIL,PASS_FAIL,false,,true,
VA-OVL-002,POL-VA-001,1.0,2026-01-01,,No down payment and no monthly mortgage insurance,AGENCY_INVESTOR,ADVISORY,PROCESS,false,min_down_payment_pct=0.0; max_ltv=1.0; monthly_mortgage_insurance=False; funding_fee_pct_financed=0.023,true,
VA-OVL-003,POL-VA-001,1.0,2026-01-01,,Residual income test,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,residual_income_floor_household_1=500; residual_income_floor_household_2=840; residual_income_floor_household_3=1000; residual_income_floor_household_4_plus=1180; max_back_end_dti_without_residual_cushion=0.41; residual_cushion_multiple_above_guideline=1.2,false,POL-DTI-001
VA-OVL-004,POL-VA-001,1.0,2026-01-01,,Occupancy certification,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,occupancy_required=primary_residence; occupancy_deadline_days=60,false,POL-PRP-002
USD-OVL-001,POL-USDA-001,1.0,2026-01-01,,Property and occupancy eligibility,AGENCY_INVESTOR,HARD_FAIL,PASS_FAIL,false,,true,
USD-OVL-002,POL-USDA-001,1.0,2026-01-01,,Household income limit,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,"income_limit_household_1_to_4=121500; income_limit_household_5_plus=160400; income_basis=adjusted household income, all adult members",false,POL-INC-001
USD-OVL-003,POL-USDA-001,1.0,2026-01-01,,Full financing and guarantee fees,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,max_ltv=1.0; upfront_guarantee_fee_pct=0.01; annual_fee_pct_of_loan=0.0035,false,POL-DTI-001
USD-OVL-004,POL-USDA-001,1.0,2026-01-01,,Affordability ceiling,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_front_end_dti=0.34; max_back_end_dti=0.44,false,POL-DTI-001
CRD-SCR-001,POL-CRD-001,1.0,2026-01-01,2026-07-01,A credit report must be obtained for a permissible purpose,REGULATORY,HARD_FAIL,PASS_FAIL,false,,true,POL-DEC-001
CRD-SCR-002,POL-CRD-001,1.0,2026-01-01,2026-07-01,Representative score methodology,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,"single_borrower=middle of three, lower of two, otherwise the one; multi_borrower=lowest borrower representative score; model_metadata_required=True",true,
CRD-SCR-005,POL-CRD-001,1.0,2026-01-01,2026-07-01,Thin or absent credit history is not a failure,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,min_scoreable_tradelines_for_score_path=3,false,POL-UWR-001
CRD-SCR-006,POL-CRD-001,1.0,2026-01-01,2026-07-01,Prohibited-basis characteristics are never credit factors,REGULATORY,HARD_FAIL,PROCESS,false,"prohibited_factors=race, colour, religion, national origin, sex, marital status, age, receipt of public assistance; monitoring_data_storage=segregated from underwriting features",true,POL-SEC-001|POL-DEC-001
CRD-SCR-003,POL-CRD-001,1.0,2026-01-01,2026-07-01,Minimum representative score,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,min_representative_score_conventional=620; leverage_adjustment=none,false,
CRD-SCR-004,POL-CRD-001,1.0,2026-01-01,2026-07-01,Credit report freshness,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,max_report_age_days=120,false,POL-DOC-001
CRD-SCR-001,POL-CRD-001,2.0,2026-07-01,,A credit report must be obtained for a permissible purpose,REGULATORY,HARD_FAIL,PASS_FAIL,false,,true,POL-DEC-001
CRD-SCR-002,POL-CRD-001,2.0,2026-07-01,,Representative score methodology,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,"single_borrower=middle of three, lower of two, otherwise the one; multi_borrower=lowest borrower representative score; model_metadata_required=True",true,
CRD-SCR-005,POL-CRD-001,2.0,2026-07-01,,Thin or absent credit history is not a failure,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,min_scoreable_tradelines_for_score_path=3,false,POL-UWR-001
CRD-SCR-006,POL-CRD-001,2.0,2026-07-01,,Prohibited-basis characteristics are never credit factors,REGULATORY,HARD_FAIL,PROCESS,false,"prohibited_factors=race, colour, religion, national origin, sex, marital status, age, receipt of public assistance; monitoring_data_storage=segregated from underwriting features",true,POL-SEC-001|POL-DEC-001
CRD-SCR-003,POL-CRD-001,2.0,2026-07-01,,"Minimum representative score, graduated by leverage",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,min_representative_score_ltv_at_or_below_90=620; min_representative_score_ltv_above_90=640; ltv_band_boundary=0.9,false,
CRD-SCR-004,POL-CRD-001,2.0,2026-07-01,,Credit report freshness,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,max_report_age_days=90,false,POL-DOC-001
CRD-SCR-007,POL-CRD-001,2.0,2026-07-01,,"Recent inquiries must be addressed, not scored",SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_REFER_FAIL,false,inquiry_lookback_days=90; inquiry_count_trigger=4,false,POL-LIA-001
CRD-EVT-001,POL-CRD-002,1.0,2026-01-01,,Seasoning periods by event type,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,chapter_7_bankruptcy_months=48; chapter_13_bankruptcy_discharged_months=24; foreclosure_months=84; deed_in_lieu_months=48; short_sale_months=48; mortgage_charge_off_months=48; anchor_bankruptcy=discharge or dismissal date; anchor_foreclosure=completion or sale date; anchor_short_sale=title transfer date,true,
CRD-EVT-002,POL-CRD-002,1.0,2026-01-01,,Reduced seasoning with documented extenuating circumstances,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,"reduced_seasoning_months=36; requires_independent_evidence=True; applies_to=foreclosure, deed in lieu, short sale",false,POL-UWR-001
CRD-EVT-003,POL-CRD-002,1.0,2026-01-01,,Collections and charge-offs on non-mortgage debt,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,aggregate_threshold=5000; individual_account_floor=500; medical_collections_excluded=True,false,POL-LIA-001
CRD-EVT-004,POL-CRD-002,1.0,2026-01-01,,Disputed tradelines,COMMON_INDUSTRY_PRACTICE,CONDITIONAL,PASS_REFER_FAIL,true,,false,POL-LIA-001
CRD-DLQ-001,POL-CRD-003,1.0,2026-01-01,,Housing payment history is weighed separately,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,housing_lookback_months=12; housing_30d_refer_at=1; housing_60d_fail_at=1,false,
CRD-DLQ-002,POL-CRD-003,1.0,2026-01-01,,Non-housing delinquency pattern,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,false,lookback_months=24; accounts_30d_refer_at=3; any_90d_refer=True,false,
CRD-DLQ-003,POL-CRD-003,1.0,2026-01-01,,"Credit utilisation is context, not a threshold test",SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,excludes=accounts with no stated limit and closed accounts; risk_note_threshold=0.8,true,
CRD-DLQ-004,POL-CRD-003,1.0,2026-01-01,,Recent payment behaviour outweighs distant behaviour,SYNTHETIC_INTERNAL_POLICY,ADVISORY,PROCESS,false,,false,POL-DTI-001
LIA-INC-001,POL-LIA-001,1.0,2026-01-01,,Every obligation is recorded individually with its inclusion decision,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,,true,
LIA-INC-002,POL-LIA-001,1.0,2026-01-01,,Obligations ending within ten months may be excluded,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,max_remaining_payments_for_exclusion=10; lease_excluded_from_this_rule=True; materiality_guard=payment above 5 percent of qualifying income,false,
LIA-INC-003,POL-LIA-001,1.0,2026-01-01,,Revolving accounts use the stated minimum payment,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,fallback_minimum_payment_pct_of_balance=0.05; zero_balance_excluded=True,false,POL-CRD-003
LIA-INC-004,POL-LIA-001,1.0,2026-01-01,,Deferred and income-driven obligations,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,CALCULATION,false,fallback_payment_pct_of_balance=0.01; income_driven_zero_payment_allowed=True; plan_documentation_required=True,false,
LIA-INC-005,POL-LIA-001,1.0,2026-01-01,,Obligations paid by another party,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,required_months_of_third_party_payments=12,false,
LIA-INC-006,POL-LIA-001,1.0,2026-01-01,,Obligations found on the credit report but absent from the application,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_REFER_FAIL,true,,false,POL-DTI-001|POL-FRD-001
DTI-CALC-001,POL-DTI-001,1.0,2026-01-01,2026-07-01,Definition and components of the affordability measures,AGENCY_INVESTOR,HARD_FAIL,CALCULATION,false,"back_end_formula=total monthly obligations / qualifying monthly income; front_end_formula=qualifying housing expense / qualifying monthly income; zero_income_result=INDETERMINATE, never zero or infinite",true,POL-LIA-001|POL-INC-001
DTI-CALC-002,POL-DTI-001,1.0,2026-01-01,2026-07-01,"Affordability is computed deterministically, never estimated",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,"rounding=ratios to four decimal places, money to cents, half-up; provenance_required=input field ids and formula version",true,
DTI-CALC-003,POL-DTI-001,1.0,2026-01-01,2026-07-01,Disposable income is reported alongside the ratio,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,formula=qualifying monthly income - total monthly obligations,false,POL-VA-001
DTI-CONV-001,POL-DTI-001,1.0,2026-01-01,2026-07-01,Maximum back-end debt-to-income,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_back_end_dti=0.45; compensating_factor_extension=none under this version,false,
DTI-CONV-002,POL-DTI-001,1.0,2026-01-01,2026-07-01,Housing ratio is advisory,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,risk_note_threshold=0.38; hard_test=False,false,POL-USDA-001
DTI-BRE-001,POL-DTI-001,1.0,2026-01-01,2026-07-01,A breach is reported with the threshold it failed,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,"required_fields=computed_value, threshold_value, rule_id, policy_version, input_field_ids",false,POL-DEC-001
DTI-BRE-002,POL-DTI-001,1.0,2026-01-01,2026-07-01,Payment shock is recorded where a prior housing payment exists,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,formula=(proposed PITIA - current housing payment) / current housing payment; no_prior_payment=not applicable; risk_note_threshold=0.5,true,
DTI-CALC-001,POL-DTI-001,2.0,2026-07-01,,Definition and components of the affordability measures,AGENCY_INVESTOR,HARD_FAIL,CALCULATION,false,"back_end_formula=total monthly obligations / qualifying monthly income; front_end_formula=qualifying housing expense / qualifying monthly income; zero_income_result=INDETERMINATE, never zero or infinite",true,POL-LIA-001|POL-INC-001
DTI-CALC-002,POL-DTI-001,2.0,2026-07-01,,"Affordability is computed deterministically, never estimated",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,"rounding=ratios to four decimal places, money to cents, half-up; provenance_required=input field ids and formula version",true,
DTI-CALC-003,POL-DTI-001,2.0,2026-07-01,,Disposable income is reported alongside the ratio,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,formula=qualifying monthly income - total monthly obligations,false,POL-VA-001
DTI-CONV-001,POL-DTI-001,2.0,2026-07-01,,"Maximum back-end debt-to-income, with a compensating-factor extension",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_back_end_dti=0.43; max_back_end_dti_with_factors=0.45; min_compensating_factors=2,false,
DTI-CONV-002,POL-DTI-001,2.0,2026-07-01,,Housing ratio is advisory,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,risk_note_threshold=0.38; hard_test=False,false,POL-USDA-001
DTI-CONV-003,POL-DTI-001,2.0,2026-07-01,,Recognised compensating factors,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PROCESS,false,"factor_reserves_months=6; factor_min_credit_score=720; factor_max_payment_shock=0.05; factor_min_employment_months=60; factor_max_ltv=0.75; excluded_products=cash_out_refinance, jumbo",false,POL-AST-003|POL-CRD-001
DTI-BRE-001,POL-DTI-001,2.0,2026-07-01,,A breach is reported with the threshold it failed,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,"required_fields=computed_value, threshold_value, rule_id, policy_version, input_field_ids",false,POL-DEC-001
DTI-BRE-002,POL-DTI-001,2.0,2026-07-01,,Payment shock is recorded where a prior housing payment exists,SYNTHETIC_INTERNAL_POLICY,ADVISORY,CALCULATION,false,formula=(proposed PITIA - current housing payment) / current housing payment; no_prior_payment=not applicable; risk_note_threshold=0.5,true,
INC-GEN-001,POL-INC-001,1.0,2026-01-01,,"Declared, verified and qualifying amounts are stored separately",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,,true,
INC-GEN-002,POL-INC-001,1.0,2026-01-01,,Qualifying income must not exceed verified income,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,invariant=qualifying_amount <= verified_amount,false,
INC-GEN-003,POL-INC-001,1.0,2026-01-01,,Continuance period,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_REFER_FAIL,false,continuance_months=36; defined_end_date_within_window=exclude unless renewal evidenced,false,
INC-GEN-004,POL-INC-001,1.0,2026-01-01,,Income source is never a basis for discounting,REGULATORY,HARD_FAIL,PROCESS,false,,true,POL-CRD-001|POL-DEC-001
INC-GEN-005,POL-INC-001,1.0,2026-01-01,,Non-taxable income may be grossed up,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,CALCULATION,false,gross_up_pct=0.15; documentation_required=evidence of non-taxable status,false,POL-INC-007
INC-GEN-006,POL-INC-001,1.0,2026-01-01,,"Conflicting income evidence is reconciled, never averaged away",SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,"materiality_threshold=0.05; interim_treatment=use the lower verified figure; record=both values, both document ids, the computed variance",true,POL-FRD-001|POL-UWR-001
INC-SAL-001,POL-INC-002,1.0,2026-01-01,,Conversion to monthly qualifying income,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,annual_divisor=12; weekly_multiplier=52; biweekly_multiplier=26; semimonthly_multiplier=24; monthly_multiplier=12,true,
INC-SAL-002,POL-INC-002,1.0,2026-01-01,,Required documentation,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,paystub_periods_required=1; w2_years_required=1; employment_verification_required=True; digital_verification_reduces_documents=True,true,POL-DOC-001|POL-EMP-001
INC-SAL-003,POL-INC-002,1.0,2026-01-01,,Year-to-date earnings must reconcile with the stated salary,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,tolerance=0.05; formula=YTD gross / elapsed pay periods * periods per year,false,POL-INC-001|POL-FRD-001
INC-SAL-004,POL-INC-002,1.0,2026-01-01,,A documented raise may be used before it appears on a paystub,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,max_days_before_effective=60; documentation=employer letter stating the new rate and effective date,false,
INC-HRL-001,POL-INC-003,1.0,2026-01-01,,Guaranteed hours are qualified as fixed income,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,formula=rate * guaranteed weekly hours * 52 / 12; guarantee_evidence_required=True,false,
INC-HRL-002,POL-INC-003,1.0,2026-01-01,,Variable hours are averaged over history,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,"preferred_history_months=24; minimum_history_months=12; averaging=full period, no exclusions",false,
INC-HRL-003,POL-INC-003,1.0,2026-01-01,,Declining hours reduce the qualifying amount,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,"decline_trigger=0.1; declining_treatment=use the current annualised amount; rising_treatment=use the historical average, never the current peak",true,
INC-HRL-004,POL-INC-003,1.0,2026-01-01,,Seasonal employment,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_REFER_FAIL,false,required_history_months=24; averaging_basis=full calendar year including off-season,false,
INC-VAR-001,POL-INC-004,1.0,2026-01-01,2026-07-01,Required earnings history,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,required_history_months=24; shorter_history_allowed=False,true,
INC-VAR-002,POL-INC-004,1.0,2026-01-01,2026-07-01,Averaging method,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,formula=total variable earnings over history / months in history,false,
INC-VAR-003,POL-INC-004,1.0,2026-01-01,2026-07-01,Declining variable income,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,refer_decline_trigger=0.2; exclude_decline_trigger=0.4,true,
INC-VAR-004,POL-INC-004,1.0,2026-01-01,2026-07-01,Commission income with significant unreimbursed expenses,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,CALCULATION,false,commission_share_trigger=0.25; expense_treatment=deduct documented unreimbursed business expenses,false,
INC-VAR-001,POL-INC-004,2.0,2026-07-01,,"Required earnings history, with a shorter-history allowance",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_REFER_FAIL,true,required_history_months=24; shorter_history_allowed=True; minimum_history_months=12; shorter_history_haircut=0.75; min_positive_factors=2,true,
INC-VAR-002,POL-INC-004,2.0,2026-07-01,,Averaging method,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,CALCULATION,false,formula=total variable earnings over history / months in history,false,
INC-VAR-003,POL-INC-004,2.0,2026-07-01,,Declining variable income,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,refer_decline_trigger=0.2; exclude_decline_trigger=0.4,true,
INC-VAR-004,POL-INC-004,2.0,2026-07-01,,Commission income with significant unreimbursed expenses,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,CALCULATION,false,commission_share_trigger=0.25; expense_treatment=deduct documented unreimbursed business expenses,false,
