policy_document_id,policy_id,version,title,family,effective_date,expiration_date,source_category,priority,supersedes,superseded_by,requires_human_review,jurisdiction,product_scope,occupancy_scope,purpose_scope,rule_count,relative_path,document_hash
POL-INC-007-v1.0,POL-INC-007,1.0,Other Qualifying Income,income-other,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,49,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-INC-007_income-other_v1.0.md,a44558d715a58a1d
POL-EMP-001-v1.0,POL-EMP-001,1.0,Employment Verification,employment-verification,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,47,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-EMP-001_employment-verification_v1.0.md,14c33644fc4767d7
POL-EMP-002-v1.0,POL-EMP-002,1.0,"Employment Continuity, Gaps and Future Employment",employment-continuity,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,47,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-EMP-002_employment-continuity_v1.0.md,fed7c6227d371f9b
POL-AST-001-v1.0,POL-AST-001,1.0,Assets and Eligible Funds,assets-eligibility,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,52,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-AST-001_assets-eligibility_v1.0.md,61db2d3ddbed87f5
POL-AST-002-v1.0,POL-AST-002,1.0,Funds to Close and the Settlement Calculation,funds-to-close,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,53,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-AST-002_funds-to-close_v1.0.md,efe3f5a0dae19472
POL-AST-003-v1.0,POL-AST-003,1.0,Reserve Requirements,reserves,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,54,,POL-AST-003 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-AST-003_reserves_v1.0.md,0651026af4ce481f
POL-AST-003-v2.0,POL-AST-003,2.0,Reserve Requirements,reserves,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,54,POL-AST-003 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-AST-003_reserves_v2.0.md,6270c637be9dbca9
POL-AST-004-v1.0,POL-AST-004,1.0,"Gifts, Grants and Source of Funds",source-of-funds,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,55,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-AST-004_source-of-funds_v1.0.md,240af93f402114ab
POL-PRP-001-v1.0,POL-PRP-001,1.0,Property Eligibility,property-eligibility,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,56,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-PRP-001_property-eligibility_v1.0.md,27d163b3d07d8c2c
POL-PRP-002-v1.0,POL-PRP-002,1.0,Occupancy Classification and Verification,occupancy,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,56,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,3,synthetic_data/mortgage/policy_corpus/POL-PRP-002_occupancy_v1.0.md,2da2e792e88faa78
POL-VAL-001-v1.0,POL-VAL-001,1.0,Appraisal and Valuation,valuation,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,57,,POL-VAL-001 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-VAL-001_valuation_v1.0.md,880e4b20e2074bff
POL-VAL-001-v2.0,POL-VAL-001,2.0,Appraisal and Valuation,valuation,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,57,POL-VAL-001 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-VAL-001_valuation_v2.0.md,db26057b3eeaf255
POL-TTL-001-v1.0,POL-TTL-001,1.0,"Title, Lien Position and Property Insurance",title-and-insurance,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,58,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-TTL-001_title-and-insurance_v1.0.md,b93de4ce31b8f7e6
POL-KYC-001-v1.0,POL-KYC-001,1.0,Identity Verification and Customer Identification,identity-kyc,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,20,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,3,synthetic_data/mortgage/policy_corpus/POL-KYC-001_identity-kyc_v1.0.md,5186073db3bf33ca
POL-FRD-001-v1.0,POL-FRD-001,1.0,Fraud Indicators and Document Integrity,fraud-and-integrity,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,22,,,true,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-FRD-001_fraud-and-integrity_v1.0.md,d5b38e9071292bd3
POL-DOC-001-v1.0,POL-DOC-001,1.0,"Documentation Requirements, Completeness and Freshness",documentation,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,60,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-DOC-001_documentation_v1.0.md,f956418366235d6c
POL-UWR-001-v1.0,POL-UWR-001,1.0,"Conditions, Manual Review and Exception Authority",underwriting-control,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,15,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-UWR-001_underwriting-control_v1.0.md,c4702fba29366cb5
POL-DEC-001-v1.0,POL-DEC-001,1.0,"Decisioning, Recommendations and Adverse-Action Handling",decisioning,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,12,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-DEC-001_decisioning_v1.0.md,2558151ab866f3cf
POL-SEC-001-v1.0,POL-SEC-001,1.0,"Privacy, Sensitive Data and AI Input Security",privacy-and-ai-security,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,5,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,7,synthetic_data/mortgage/policy_corpus/POL-SEC-001_privacy-and-ai-security_v1.0.md,f787671d1e7d75e6
