decision_reason_id,decision_id,application_id,reason_code,reason_text,rule_id,policy_id,policy_version,evidence_reference
APP-000009-RSN-02,APP-000009-DEC-01,APP-000009,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000011-RSN-01,APP-000011-DEC-01,APP-000011,RSN-INCSEB006,Self-employment income requires human underwriting review before a recommendation is issued; cash-flow and add-back judgement is outside what an automated component may settle.,INC-SEB-006,POL-INC-005,1.0,employment.self_employed_flag
APP-000011-RSN-02,APP-000011-DEC-01,APP-000011,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000012-RSN-01,APP-000012-DEC-01,APP-000012,RSN-INCVAR001,Variable earnings history of 14 months is below the 24-month standard but meets the 12-month allowance with 3 documented positive factors; a haircut applies and the file is reviewed.,INC-VAR-001,POL-INC-004,2.0,income_history
APP-000012-RSN-02,APP-000012-DEC-01,APP-000012,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000014-RSN-01,APP-000014-DEC-01,APP-000014,RSN-DTICONV001,Back-end debt-to-income 46.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 1 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000016-RSN-01,APP-000016-DEC-01,APP-000016,RSN-EMPCNT004,"Employment begins in 61 days against the 90-day window; a non-contingent offer and reserves covering the gap period are required, and the file is reviewed in every case.",EMP-CNT-004,POL-EMP-002,1.0,employment.start_date
APP-000016-RSN-02,APP-000016-DEC-01,APP-000016,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000017-RSN-01,APP-000017-DEC-01,APP-000017,RSN-JMBELG004,Jumbo exposure: every file under this overlay is reviewed by a human underwriter because real jumbo criteria are set by private investor overlays that are not publicly documented.,JMB-ELG-004,POL-JUMBO-001,2.0,loans.base_loan_amount|applications.product_family
APP-000017-RSN-02,APP-000017-DEC-01,APP-000017,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000018-RSN-01,APP-000018-DEC-01,APP-000018,RSN-JMBELG004,Jumbo exposure: every file under this overlay is reviewed by a human underwriter because real jumbo criteria are set by private investor overlays that are not publicly documented.,JMB-ELG-004,POL-JUMBO-001,2.0,loans.base_loan_amount|applications.product_family
APP-000018-RSN-02,APP-000018-DEC-01,APP-000018,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000020-RSN-01,APP-000020-DEC-01,APP-000020,RSN-VAOVL003,"Back-end debt-to-income 58.00% exceeds the 41.00% guideline, which is permitted only where residual income reaches 1,416.00. Residual income is 1,302.00, so the guideline governs.",VA-OVL-003,POL-VA-001,1.0,underwriting_calculations.residual_income_monthly|underwriting_calculations.back_end_dti|applications.household_size
APP-000021-RSN-01,APP-000021-DEC-01,APP-000021,RSN-USDOVL002,Adjusted household income exceeds the programme limit for the household size.,USD-OVL-002,POL-USDA-001,1.0,income.household_annual_income
APP-000024-RSN-01,APP-000024-DEC-01,APP-000024,RSN-CONVCOR001,The borrower has held title for 4 months against the 6-month requirement for equity extraction.,CONV-COR-001,POL-CONV-003,1.0,properties.ownership_months
APP-000026-RSN-01,APP-000026-DEC-01,APP-000026,RSN-ASTFTC003,"Eligible funds available 70,006.46 against 82,694.91 required at settlement; a shortfall of 12,688.45. This is a deterministic arithmetic failure that no compensating factor cures.",AST-FTC-003,POL-AST-002,1.0,underwriting_calculations.funds_to_close_required|underwriting_calculations.funds_to_close_available
APP-000026-RSN-02,APP-000026-DEC-01,APP-000026,RSN-ASTRSV002,"Post-closing reserves of 1.60 months against the 8-month requirement for this occupancy, leverage and affordability profile.",AST-RSV-002,POL-AST-003,2.0,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves
APP-000026-RSN-03,APP-000026-DEC-01,APP-000026,RSN-ASTSRC001,Gift funds are not permitted on an investment-property transaction.,AST-SRC-001,POL-AST-004,1.0,assets.asset_type
APP-000028-RSN-01,APP-000028-DEC-01,APP-000028,RSN-CRDEVT001,chapter_7_bankruptcy anchored at 2024-02-12 is 30 months seasoned against the 48-month requirement.,CRD-EVT-001,POL-CRD-002,1.0,credit_events.anchor_date|credit_events.event_type
APP-000029-RSN-01,APP-000029-DEC-01,APP-000029,RSN-CRDEVT001,foreclosure anchored at 2022-02-12 is 54 months seasoned against the 84-month requirement.,CRD-EVT-001,POL-CRD-002,1.0,credit_events.anchor_date|credit_events.event_type
APP-000030-RSN-01,APP-000030-DEC-01,APP-000030,RSN-CRDDLQ001,1 housing payment(s) 30 days past due in the last 12 months; underwriter review required.,CRD-DLQ-001,POL-CRD-003,1.0,credit_accounts.housing_late_history
APP-000030-RSN-02,APP-000030-DEC-01,APP-000030,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000031-RSN-01,APP-000031-DEC-01,APP-000031,RSN-CRDDLQ002,4 account(s) 30+ days past due in 24 months; a written explanation and underwriter review are required.,CRD-DLQ-002,POL-CRD-003,1.0,credit_accounts.late_history
APP-000031-RSN-02,APP-000031-DEC-01,APP-000031,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000032-RSN-01,APP-000032-DEC-01,APP-000032,RSN-CRDEVT003,"Non-medical collection and charge-off balances total 7,400.00 against the 5,000.00 threshold; they must be paid or brought into a documented plan before closing.",CRD-EVT-003,POL-CRD-002,1.0,credit_accounts.collection_balance
APP-000033-RSN-01,APP-000033-DEC-01,APP-000033,RSN-CRDSCR007,5 inquiries in the 90-day lookback require a written explanation identifying whether any resulted in new debt. Inquiry count is never itself a basis for an adverse outcome.,CRD-SCR-007,POL-CRD-001,2.0,credit_profiles.recent_inquiries_90d
APP-000034-RSN-01,APP-000034-DEC-01,APP-000034,RSN-CRDSCR005,Only 2 scoreable tradeline(s); manual credit review with alternative credit evidence is required.,CRD-SCR-005,POL-CRD-001,2.0,credit_accounts
APP-000034-RSN-02,APP-000034-DEC-01,APP-000034,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000035-RSN-01,APP-000035-DEC-01,APP-000035,RSN-LIAINC006,An obligation appearing on the credit report was not declared on the application. It has been added to the liabilities and the debt-to-income ratio recomputed; the borrower must confirm or dispute it before a decision is reached.,LIA-INC-006,POL-LIA-001,1.0,liabilities.source
APP-000035-RSN-02,APP-000035-DEC-01,APP-000035,RSN-UWRHRV001,"Affordability result 41.00% is within 2.00% of its 43.00% limit, which is a mandatory human-review trigger.",UWR-HRV-001,POL-UWR-001,1.0,underwriting_calculations.back_end_dti
APP-000035-RSN-03,APP-000035-DEC-01,APP-000035,RSN-UWRHRV001,2 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000036-RSN-01,APP-000036-DEC-01,APP-000036,RSN-INCGEN006,Income evidence differs across sources by 7.06% against a 5.00% materiality threshold. The lower verified figure is used pending resolution and both values are recorded.,INC-GEN-006,POL-INC-001,1.0,income.declared_amount|income.verified_amount
APP-000036-RSN-02,APP-000036-DEC-01,APP-000036,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000037-RSN-01,APP-000037-DEC-01,APP-000037,RSN-EMPVER003,The employment verification reports details that differ materially from the application. The verified value governs and the discrepancy is recorded with both values and their sources.,EMP-VER-003,POL-EMP-001,1.0,employment.start_date|verifications.employment
APP-000037-RSN-02,APP-000037-DEC-01,APP-000037,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000038-RSN-01,APP-000038-DEC-01,APP-000038,RSN-INCSAL003,Annualised year-to-date earnings differ from the stated salary by 9.12% against a 5.00% tolerance.,INC-SAL-003,POL-INC-002,1.0,document_extractions.ytd_gross|income.annual_amount
APP-000038-RSN-02,APP-000038-DEC-01,APP-000038,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000039-RSN-01,APP-000039-DEC-01,APP-000039,RSN-PRPOCC002,Evidence in the file contradicts the declared occupancy. The contradiction is recorded with both sources and routed for review; it is not resolved by re-reading the declaration.,PRP-OCC-002,POL-PRP-002,1.0,properties.occupancy_type|documents
APP-000039-RSN-02,APP-000039-DEC-01,APP-000039,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000040-RSN-01,APP-000040-DEC-01,APP-000040,RSN-ASTSRC002,"A deposit of 16,733.33 exceeds the 5,229.16 threshold (50.00% of qualifying monthly income) and has no documented source. It is excluded from eligible assets and the funds and reserve calculations were re-run without it.",AST-SRC-002,POL-AST-004,1.0,asset_transactions
APP-000040-RSN-02,APP-000040-DEC-01,APP-000040,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000043-RSN-01,APP-000043-DEC-01,APP-000043,RSN-FRDIND002,Document integrity finding: the document is quarantined and is not used for qualification while the finding is open.,FRD-IND-002,POL-FRD-001,1.0,documents.tampering_indicator
APP-000043-RSN-02,APP-000043-DEC-01,APP-000043,RSN-FRDIND001,Cross-source inconsistency: paystub year-to-date total does not sum from its line items. Recorded with both contributing sources for reviewer evaluation.,FRD-IND-001,POL-FRD-001,1.0,documents|verifications
APP-000043-RSN-03,APP-000043-DEC-01,APP-000043,RSN-FRDIND003,An open integrity finding may be cleared only by an authorised human reviewer; no automated component may close it.,FRD-IND-003,POL-FRD-001,1.0,fraud_checks|risk_flags|human_reviews
APP-000043-RSN-04,APP-000043-DEC-01,APP-000043,RSN-UWRHRV001,3 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000044-RSN-01,APP-000044-DEC-01,APP-000044,RSN-KYCIDV002,Identity elements conflict across sources; the application stops and is escalated to the financial-crime function rather than proceeding to ordinary underwriting.,KYC-IDV-002,POL-KYC-001,1.0,verifications.identity
APP-000044-RSN-02,APP-000044-DEC-01,APP-000044,RSN-KYCIDV001,Identity verification returned REFERRED.,KYC-IDV-001,POL-KYC-001,1.0,verifications.identity
APP-000044-RSN-03,APP-000044-DEC-01,APP-000044,RSN-UWRHRV001,2 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000046-RSN-01,APP-000046-DEC-01,APP-000046,RSN-DOCREQ002,"2 document(s) are outside their freshness window and must be refreshed: paystub, bank_statement. A stale document raises a refresh condition; it is not treated as a missing document.",DOC-REQ-002,POL-DOC-001,1.0,documents.document_date
APP-000047-RSN-01,APP-000047-DEC-01,APP-000047,RSN-CRDSCR007,4 inquiries in the 90-day lookback require a written explanation identifying whether any resulted in new debt. Inquiry count is never itself a basis for an adverse outcome.,CRD-SCR-007,POL-CRD-001,2.0,credit_profiles.recent_inquiries_90d
APP-000049-RSN-01,APP-000049-DEC-01,APP-000049,RSN-TTLLIE002,"A title exception affecting marketability, access or the insured lien position is unresolved; it must be cleared before clear-to-close.",TTL-LIE-002,POL-TTL-001,1.0,title_records.exceptions
APP-000049-RSN-02,APP-000049-DEC-01,APP-000049,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000051-RSN-01,APP-000051-DEC-01,APP-000051,RSN-PRPELG002,"The valuation reports a condition affecting safety, structural integrity or habitability; repairs and a satisfactory re-inspection are required before closing.",PRP-ELG-002,POL-PRP-001,1.0,appraisals.condition_rating
APP-000051-RSN-02,APP-000051-DEC-01,APP-000051,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000053-RSN-01,APP-000053-DEC-01,APP-000053,RSN-VALAPR001,Automated value acceptance is not available under the policy version in force on the as-of date; a full appraisal is required.,VAL-APR-001,POL-VAL-001,1.0,appraisals.valuation_method
APP-000054-RSN-01,APP-000054-DEC-01,APP-000054,RSN-VALAPR003,Valuation is 168 days old against the 120-day window.,VAL-APR-003,POL-VAL-001,2.0,appraisals.appraisal_date
APP-000055-RSN-01,APP-000055-DEC-01,APP-000055,RSN-UWRHRV001,"Affordability result 44.00% is within 2.00% of its 45.00% limit, which is a mandatory human-review trigger.",UWR-HRV-001,POL-UWR-001,1.0,underwriting_calculations.back_end_dti
APP-000055-RSN-02,APP-000055-DEC-01,APP-000055,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000056-RSN-01,APP-000056-DEC-01,APP-000056,RSN-DTICONV001,Back-end debt-to-income 44.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 0 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000056-RSN-02,APP-000056-DEC-01,APP-000056,RSN-ASTRSV002,"Post-closing reserves of 3.00 months against the 4-month requirement for this occupancy, leverage and affordability profile.",AST-RSV-002,POL-AST-003,2.0,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves
APP-000057-RSN-01,APP-000057-DEC-01,APP-000057,RSN-UWRHRV001,"Affordability result 44.00% is within 2.00% of its 45.00% limit, which is a mandatory human-review trigger.",UWR-HRV-001,POL-UWR-001,1.0,underwriting_calculations.back_end_dti
APP-000057-RSN-02,APP-000057-DEC-01,APP-000057,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000059-RSN-01,APP-000059-DEC-01,APP-000059,RSN-CRDSCR003,Representative score 639 against the applicable floor of 640. The credit floor is not met.,CRD-SCR-003,POL-CRD-001,2.0,credit_profiles.representative_score
APP-000062-RSN-01,APP-000062-DEC-01,APP-000062,RSN-CRDSCR003,Representative score 604 against the applicable floor of 620. The credit floor is not met.,CRD-SCR-003,POL-CRD-001,2.0,credit_profiles.representative_score
APP-000064-RSN-01,APP-000064-DEC-01,APP-000064,RSN-DTICONV001,Back-end debt-to-income 47.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 0 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000065-RSN-01,APP-000065-DEC-01,APP-000065,RSN-SECINJ001,PROMPT_INJECTION detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-001,POL-SEC-001,1.0,documents.untrusted_text
APP-000065-RSN-02,APP-000065-DEC-01,APP-000065,RSN-DTICONV001,Back-end debt-to-income 48.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 0 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000065-RSN-03,APP-000065-DEC-01,APP-000065,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000066-RSN-01,APP-000066-DEC-01,APP-000066,RSN-SECINJ001,POLICY_OVERRIDE_ATTEMPT detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-001,POL-SEC-001,1.0,documents.untrusted_text
APP-000066-RSN-02,APP-000066-DEC-01,APP-000066,RSN-CRDSCR003,Representative score 602 against the applicable floor of 620. The credit floor is not met.,CRD-SCR-003,POL-CRD-001,2.0,credit_profiles.representative_score
APP-000066-RSN-03,APP-000066-DEC-01,APP-000066,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000067-RSN-01,APP-000067-DEC-01,APP-000067,RSN-SECINJ003,PII_EXTRACTION detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-003,POL-SEC-001,1.0,documents.untrusted_text
APP-000067-RSN-02,APP-000067-DEC-01,APP-000067,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000068-RSN-01,APP-000068-DEC-01,APP-000068,RSN-SECINJ002,CROSS_CUSTOMER_ACCESS detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-002,POL-SEC-001,1.0,documents.untrusted_text
APP-000068-RSN-02,APP-000068-DEC-01,APP-000068,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000069-RSN-01,APP-000069-DEC-01,APP-000069,RSN-SECINJ001,INSTRUCTION_SMUGGLING detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-001,POL-SEC-001,1.0,documents.untrusted_text
APP-000069-RSN-02,APP-000069-DEC-01,APP-000069,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000070-RSN-01,APP-000070-DEC-01,APP-000070,RSN-SECINJ004,OUT_OF_SCOPE_REQUEST detected in applicant-supplied content; content quarantined and treated as data. Underwriting continues on the verified evidence.,SEC-INJ-004,POL-SEC-001,1.0,documents.untrusted_text
APP-000070-RSN-02,APP-000070-DEC-01,APP-000070,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000075-RSN-01,APP-000075-DEC-01,APP-000075,RSN-EMPCNT001,"Combined employment history of 0 months is below the 24-month requirement; the file is reviewed rather than failed, because a shorter history with strong continuity can still support the income.",EMP-CNT-001,POL-EMP-002,1.0,employment.start_date
APP-000075-RSN-02,APP-000075-DEC-01,APP-000075,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
